#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
BRCA1	CREBBP	1861387	1845124	ENSP00000418960	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.996	0.000	0.407	0.997
ATM	CDK4	1846577	1844551	ENSP00000278616	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.728	0.971
MAPK8	HIF1A	1853988	1852062	ENSP00000353483	ENSP00000338018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.443	0.443
MDM2	SP1	1861282	1851138	ENSP00000417281	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.235	0.000	0.862	0.890
HIF1A	SP1	1852062	1851138	ENSP00000338018	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.962	0.900	0.342	0.997
BRCA1	PCNA	1861387	1856984	ENSP00000418960	ENSP00000368438	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.658	0.964
KAT2B	CREBBP	1845408	1845124	ENSP00000263754	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.991	0.900	0.949	0.999
CREBBP	CCND1	1845124	1843117	ENSP00000262367	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.570	0.900	0.529	0.978
EGFR	LCP2	1846445	1842217	ENSP00000275493	ENSP00000046794	0.000	0.000	0.000	0.000	0.000	0.425	0.000	0.232	0.539
MDM2	CDK2	1861282	1845906	ENSP00000417281	ENSP00000266970	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.560	0.954
CDKN2A	IGF1R	1859838	1845984	ENSP00000394932	ENSP00000268035	0.000	0.000	0.000	0.000	0.000	0.110	0.000	0.395	0.438
SRC	EGFR	1853652	1846445	ENSP00000350941	ENSP00000275493	0.000	0.000	0.000	0.703	0.000	0.999	0.900	0.993	0.999
PCNA	H2AFX	1856984	1856252	ENSP00000368438	ENSP00000364310	0.000	0.000	0.000	0.000	0.112	0.000	0.000	0.698	0.720
IGF1R	CDKN1A	1845984	1843736	ENSP00000268035	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.472	0.472
EGFR	CCNE1	1846445	1845190	ENSP00000275493	ENSP00000262643	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.424	0.424
ATM	ERBB2	1846577	1846101	ENSP00000278616	ENSP00000269571	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.499
EGFR	CBL	1846445	1845465	ENSP00000275493	ENSP00000264033	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.876	0.999
CHEK2	PCNA	1857546	1856984	ENSP00000372023	ENSP00000368438	0.000	0.000	0.000	0.000	0.094	0.562	0.000	0.768	0.900
SP1	CDK2	1851138	1845906	ENSP00000329357	ENSP00000266970	0.000	0.000	0.000	0.000	0.000	0.601	0.000	0.879	0.950
H2AFX	CDK4	1856252	1844551	ENSP00000364310	ENSP00000257904	0.000	0.000	0.000	0.000	0.080	0.108	0.900	0.446	0.948
CREB1	ERBB2	1859295	1846101	ENSP00000387699	ENSP00000269571	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.599	0.599
CDK2	STAT3	1845906	1845584	ENSP00000266970	ENSP00000264657	0.000	0.000	0.000	0.000	0.000	0.149	0.000	0.577	0.624
GRB2	IGF1R	1852164	1845984	ENSP00000339007	ENSP00000268035	0.000	0.000	0.000	0.000	0.000	0.149	0.900	0.936	0.994
ERBB2	CCND1	1846101	1843117	ENSP00000269571	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.570	0.000	0.962	0.983
AKT1	ERBB2	1846136	1846101	ENSP00000270202	ENSP00000269571	0.000	0.000	0.000	0.619	0.000	0.000	0.000	0.990	0.402
AKT1	CDK4	1846136	1844551	ENSP00000270202	ENSP00000257904	0.000	0.000	0.399	0.651	0.000	0.164	0.000	0.953	0.514
SP1	STAT3	1851138	1845584	ENSP00000329357	ENSP00000264657	0.000	0.000	0.000	0.000	0.000	0.912	0.000	0.877	0.988
EP300	CCND1	1845316	1843117	ENSP00000263253	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.809	0.900	0.650	0.992
CHEK2	EP300	1857546	1845316	ENSP00000372023	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.093	0.000	0.502	0.529
CBL	LCP2	1845465	1842217	ENSP00000264033	ENSP00000046794	0.000	0.000	0.000	0.000	0.000	0.960	0.900	0.709	0.998
ATM	CCNE1	1846577	1845190	ENSP00000278616	ENSP00000262643	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.445	0.445
AKT1	CDKN1A	1846136	1843736	ENSP00000270202	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.915	0.900	0.966	0.999
MDM2	CHEK2	1861282	1857546	ENSP00000417281	ENSP00000372023	0.000	0.000	0.000	0.000	0.000	0.914	0.900	0.923	0.999
MDM2	HIF1A	1861282	1852062	ENSP00000417281	ENSP00000338018	0.000	0.000	0.000	0.000	0.000	0.917	0.900	0.400	0.994
CREB1	SP1	1859295	1851138	ENSP00000387699	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.107	0.000	0.563	0.593
GRB2	FRS2	1852164	1848041	ENSP00000339007	ENSP00000299293	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.946	0.999
EPS15	SRC	1855539	1853652	ENSP00000360798	ENSP00000350941	0.000	0.000	0.000	0.000	0.000	0.168	0.000	0.589	0.644
PCNA	CREBBP	1856984	1845124	ENSP00000368438	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.412	0.412
EPS15	EGFR	1855539	1846445	ENSP00000360798	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.996	0.900	0.977	0.999
ERBB2	PLCG1	1846101	1843693	ENSP00000269571	ENSP00000244007	0.000	0.000	0.000	0.000	0.000	0.880	0.800	0.360	0.983
USP7	STAT3	1852711	1845584	ENSP00000343535	ENSP00000264657	0.000	0.000	0.000	0.000	0.072	0.576	0.000	0.819	0.922
MAPK8	SIRT1	1853988	1842473	ENSP00000353483	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.922	0.965
SOS1	CBL	1858968	1845465	ENSP00000384675	ENSP00000264033	0.000	0.000	0.000	0.000	0.000	0.574	0.900	0.492	0.976
IGF1R	STAT3	1845984	1845584	ENSP00000268035	ENSP00000264657	0.000	0.000	0.000	0.000	0.000	0.869	0.000	0.915	0.988
MDM2	TP53	1861282	1846083	ENSP00000417281	ENSP00000269305	0.000	0.000	0.000	0.000	0.167	0.999	0.900	0.981	0.999
SHC1	SRC	1860266	1853652	ENSP00000401303	ENSP00000350941	0.000	0.000	0.000	0.616	0.000	0.594	0.900	0.982	0.973
PCNA	ATM	1856984	1846577	ENSP00000368438	ENSP00000278616	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.762	0.762
TP53	CDK2	1846083	1845906	ENSP00000269305	ENSP00000266970	0.000	0.000	0.000	0.000	0.000	0.982	0.900	0.979	0.999
IRS1	TP53	1848682	1846083	ENSP00000304895	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.534	0.534
AKT1	CBL	1846136	1845465	ENSP00000270202	ENSP00000264033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.720	0.720
FRS2	PLCG1	1848041	1843693	ENSP00000299293	ENSP00000244007	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.300	0.927
MAPK8	CCND1	1853988	1843117	ENSP00000353483	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.926	0.926
AKT1	KAT2B	1846136	1845408	ENSP00000270202	ENSP00000263754	0.000	0.000	0.000	0.000	0.000	0.595	0.000	0.878	0.948
KAT2B	CDK4	1845408	1844551	ENSP00000263754	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.150	0.000	0.449	0.512
MDM2	AKT1	1861282	1846136	ENSP00000417281	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.912	0.999
TP53	EP300	1846083	1845316	ENSP00000269305	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.961	0.999
CDK2	CDKN1A	1845906	1843736	ENSP00000266970	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.994	0.999
AKT1	LCP2	1846136	1842217	ENSP00000270202	ENSP00000046794	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.533	0.533
CREBBP	SIRT1	1845124	1842473	ENSP00000262367	ENSP00000212015	0.000	0.000	0.000	0.000	0.081	0.092	0.000	0.849	0.863
SHC1	HIF1A	1860266	1852062	ENSP00000401303	ENSP00000338018	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.204	0.648
GRB2	AKT1	1852164	1846136	ENSP00000339007	ENSP00000270202	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.880	0.987
SRC	CBL	1853652	1845465	ENSP00000350941	ENSP00000264033	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.833	0.999
BRCA1	USP7	1861387	1852711	ENSP00000418960	ENSP00000343535	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.862	0.862
HIF1A	ATM	1852062	1846577	ENSP00000338018	ENSP00000278616	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.874	0.944
EGFR	CCND1	1846445	1843117	ENSP00000275493	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.963	0.963
MDM2	CREBBP	1861282	1845124	ENSP00000417281	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.960	0.900	0.312	0.997
AKT1	PLCG1	1846136	1843693	ENSP00000270202	ENSP00000244007	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.547	0.799
PCNA	CDK2	1856984	1845906	ENSP00000368438	ENSP00000266970	0.000	0.000	0.000	0.000	0.697	0.972	0.900	0.977	0.999
CDKN2A	SRC	1859838	1853652	ENSP00000394932	ENSP00000350941	0.000	0.000	0.000	0.000	0.000	0.110	0.000	0.508	0.543
SPRY2	EGFR	1856611	1846445	ENSP00000366306	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.594	0.900	0.869	0.994
H2AFX	MAPK8	1856252	1853988	ENSP00000364310	ENSP00000353483	0.000	0.000	0.000	0.000	0.000	0.913	0.000	0.855	0.987
GRB2	LCP2	1852164	1842217	ENSP00000339007	ENSP00000046794	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.953	0.999
CHEK2	CDK2	1857546	1845906	ENSP00000372023	ENSP00000266970	0.000	0.000	0.000	0.713	0.110	0.260	0.000	0.843	0.478
ATM	SIRT1	1846577	1842473	ENSP00000278616	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.485	0.946
H2AFX	KAT2B	1856252	1845408	ENSP00000364310	ENSP00000263754	0.000	0.000	0.000	0.000	0.000	0.689	0.000	0.431	0.816
CDKN2A	EP300	1859838	1845316	ENSP00000394932	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.566	0.000	0.530	0.787
BRCA1	ERBB2	1861387	1846101	ENSP00000418960	ENSP00000269571	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.813	0.813
PCNA	MAPK8	1856984	1853988	ENSP00000368438	ENSP00000353483	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.499
BRCA1	HIF1A	1861387	1852062	ENSP00000418960	ENSP00000338018	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.399	0.734
SRC	STAT3	1853652	1845584	ENSP00000350941	ENSP00000264657	0.000	0.000	0.000	0.000	0.000	0.996	0.900	0.981	0.999
EPS15	CBL	1855539	1845465	ENSP00000360798	ENSP00000264033	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.633	0.961
CHEK2	H2AFX	1857546	1856252	ENSP00000372023	ENSP00000364310	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.885	0.988
HIF1A	SIRT1	1852062	1842473	ENSP00000338018	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.459	0.459
PCNA	CCND1	1856984	1843117	ENSP00000368438	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.914	0.900	0.984	0.999
MAPK8	EGFR	1853988	1846445	ENSP00000353483	ENSP00000275493	0.000	0.000	0.000	0.622	0.000	0.425	0.000	0.939	0.628
CDKN2A	CDK4	1859838	1844551	ENSP00000394932	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.993	0.999
CREB1	HIPK2	1859295	1859047	ENSP00000387699	ENSP00000385571	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.821	0.821
MDM2	EP300	1861282	1845316	ENSP00000417281	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.982	0.900	0.585	0.999
CDK2	CDK4	1845906	1844551	ENSP00000266970	ENSP00000257904	0.000	0.000	0.524	0.922	0.000	0.109	0.900	0.971	0.917
CREB1	EP300	1859295	1845316	ENSP00000387699	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.996	0.900	0.990	0.999
CDK2	EP300	1845906	1845316	ENSP00000266970	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.768	0.000	0.844	0.962
GAB2	LCP2	1854264	1842217	ENSP00000354952	ENSP00000046794	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.417	0.416
CREB1	EGFR	1859295	1846445	ENSP00000387699	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.943	0.943
GRB2	IRS1	1852164	1848682	ENSP00000339007	ENSP00000304895	0.000	0.000	0.000	0.000	0.000	0.993	0.900	0.990	0.999
HIF1A	KAT2B	1852062	1845408	ENSP00000338018	ENSP00000263754	0.000	0.000	0.000	0.000	0.000	0.808	0.000	0.302	0.860
AKT1	CDK2	1846136	1845906	ENSP00000270202	ENSP00000266970	0.000	0.000	0.329	0.691	0.000	0.164	0.000	0.975	0.469
SHC1	SIRT1	1860266	1842473	ENSP00000401303	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.824	0.825
CCNE1	CDKN1A	1845190	1843736	ENSP00000262643	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.912	0.999
BRCA1	MDM2	1861387	1861282	ENSP00000418960	ENSP00000417281	0.000	0.000	0.000	0.000	0.000	0.235	0.000	0.565	0.652
ATM	EP300	1846577	1845316	ENSP00000278616	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.103	0.000	0.598	0.624
ERBB2	GAB1	1846101	1845263	ENSP00000269571	ENSP00000262995	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.742	0.742
FRS2	GAB1	1848041	1845263	ENSP00000299293	ENSP00000262995	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.842	0.992
CCNE1	CREBBP	1845190	1845124	ENSP00000262643	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.285	0.683
ERBB2	STAT3	1846101	1845584	ENSP00000269571	ENSP00000264657	0.000	0.000	0.000	0.000	0.000	0.937	0.000	0.976	0.998
EGFR	PLCG1	1846445	1843693	ENSP00000275493	ENSP00000244007	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.907	0.999
SP1	CDK4	1851138	1844551	ENSP00000329357	ENSP00000257904	0.000	0.000	0.000	0.000	0.000	0.589	0.000	0.367	0.729
IRS1	EGFR	1848682	1846445	ENSP00000304895	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.237	0.800	0.669	0.945
TP53	CDKN1A	1846083	1843736	ENSP00000269305	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.981	0.999
CDK2	CCNE1	1845906	1845190	ENSP00000266970	ENSP00000262643	0.000	0.000	0.000	0.000	0.097	0.999	0.900	0.987	0.999
IRS1	CBL	1848682	1845465	ENSP00000304895	ENSP00000264033	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.609	0.981
SP1	EP300	1851138	1845316	ENSP00000329357	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.519	0.999
USP7	CDK2	1852711	1845906	ENSP00000343535	ENSP00000266970	0.000	0.000	0.000	0.000	0.000	0.309	0.000	0.178	0.407
HIPK2	CDKN1A	1859047	1843736	ENSP00000385571	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.679	0.000	0.345	0.780
MAPK8	ERBB2	1853988	1846101	ENSP00000353483	ENSP00000269571	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.516	0.949
ERBB2	CCNE1	1846101	1845190	ENSP00000269571	ENSP00000262643	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.460	0.461
HIF1A	CDKN1A	1852062	1843736	ENSP00000338018	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.478	0.945
TP53	CREBBP	1846083	1845124	ENSP00000269305	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.939	0.999
CREB1	SIRT1	1859295	1842473	ENSP00000387699	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.430	0.000	0.545	0.730
EGFR	EP300	1846445	1845316	ENSP00000275493	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.498	0.498
SHC1	GRB2	1860266	1852164	ENSP00000401303	ENSP00000339007	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.995	0.999
IRS1	SIRT1	1848682	1842473	ENSP00000304895	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.807	0.000	0.472	0.893
MDM2	CDKN2A	1861282	1859838	ENSP00000417281	ENSP00000394932	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.962	0.999
GRB2	CBL	1852164	1845465	ENSP00000339007	ENSP00000264033	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.901	0.999
H2AFX	CDKN1A	1856252	1843736	ENSP00000364310	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.634	0.634
SHC1	MAPK8	1860266	1853988	ENSP00000401303	ENSP00000353483	0.000	0.000	0.000	0.000	0.000	0.570	0.900	0.648	0.983
GRB2	CCND1	1852164	1843117	ENSP00000339007	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.518	0.518
CDKN2A	SP1	1859838	1851138	ENSP00000394932	ENSP00000329357	0.000	0.000	0.000	0.000	0.000	0.598	0.900	0.320	0.970
MDM2	EGFR	1861282	1846445	ENSP00000417281	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.513	0.898
H2AFX	EGFR	1856252	1846445	ENSP00000364310	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.569	0.000	0.385	0.723
CHEK2	SIRT1	1857546	1842473	ENSP00000372023	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.247	0.000	0.492	0.601
EP300	SIRT1	1845316	1842473	ENSP00000263253	ENSP00000212015	0.000	0.000	0.000	0.000	0.112	0.865	0.900	0.908	0.998
STAT3	KAT2B	1845584	1845408	ENSP00000264657	ENSP00000263754	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.412
ERBB2	TP53	1846101	1846083	ENSP00000269571	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.974	0.974
SRC	ERBB2	1853652	1846101	ENSP00000350941	ENSP00000269571	0.000	0.000	0.000	0.716	0.000	0.984	0.900	0.981	0.998
ERBB2	CDKN1A	1846101	1843736	ENSP00000269571	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.914	0.914
KAT2B	EP300	1845408	1845316	ENSP00000263754	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.984	0.900	0.967	0.999
CHEK2	CDKN1A	1857546	1843736	ENSP00000372023	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.937	0.937
CREB1	IRS1	1859295	1848682	ENSP00000387699	ENSP00000304895	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.512	0.512
GRB2	GAB1	1852164	1845263	ENSP00000339007	ENSP00000262995	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.864	0.999
CREB1	MAPK8	1859295	1853988	ENSP00000387699	ENSP00000353483	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.815	0.815
CHEK2	TP53	1857546	1846083	ENSP00000372023	ENSP00000269305	0.000	0.000	0.000	0.000	0.000	0.996	0.900	0.973	0.999
CREB1	CREBBP	1859295	1845124	ENSP00000387699	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.992	0.999
SPRY2	CBL	1856611	1845465	ENSP00000366306	ENSP00000264033	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.894	0.999
MAPK8	STAT3	1853988	1845584	ENSP00000353483	ENSP00000264657	0.000	0.000	0.000	0.000	0.000	0.914	0.000	0.930	0.993
HIF1A	EGFR	1852062	1846445	ENSP00000338018	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.918	0.918
GRB2	PLCG1	1852164	1843693	ENSP00000339007	ENSP00000244007	0.000	0.000	0.000	0.710	0.000	0.981	0.900	0.921	0.998
SPRY2	ERBB2	1856611	1846101	ENSP00000366306	ENSP00000269571	0.000	0.000	0.000	0.000	0.000	0.109	0.000	0.837	0.849
H2AFX	EP300	1856252	1845316	ENSP00000364310	ENSP00000263253	0.000	0.000	0.000	0.000	0.000	0.162	0.000	0.422	0.495
KAT2B	CCND1	1845408	1843117	ENSP00000263754	ENSP00000227507	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.898	0.995
CREB1	PLCG1	1859295	1843693	ENSP00000387699	ENSP00000244007	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.263	0.923
SOS1	FRS2	1858968	1848041	ENSP00000384675	ENSP00000299293	0.000	0.000	0.000	0.000	0.000	0.961	0.900	0.369	0.997
MAPK8	CDKN1A	1853988	1843736	ENSP00000353483	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.808	0.900	0.910	0.998
SHC1	CDKN1A	1860266	1843736	ENSP00000401303	ENSP00000244741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.405	0.405
MAPK8	CREBBP	1853988	1845124	ENSP00000353483	ENSP00000262367	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.527	0.527
MAPK8	SRC	1853988	1853652	ENSP00000353483	ENSP00000350941	0.000	0.000	0.361	0.627	0.000	0.149	0.900	0.911	0.948
CDK2	SIRT1	1845906	1842473	ENSP00000266970	ENSP00000212015	0.000	0.000	0.000	0.000	0.000	0.130	0.000	0.360	0.420
